MS.Zoning,Lot.Frontage,Lot.Area,Street,Alley,Land.Contour,Lot.Config,Neighborhood,Condition.1,Condition.2,Bldg.Type,House.Style,Overall.Qual,Year.Built,Year.Remod.Add,Roof.Style,Roof.Matl,Exterior.1st,Exterior.2nd,Mas.Vnr.Type,Mas.Vnr.Area,Exter.Qual,Foundation,Bsmt.Qual,Bsmt.Cond,Bsmt.Exposure,BsmtFin.Type.1,BsmtFin.SF.1,Total.Bsmt.SF,Heating,Heating.QC,Central.Air,Electrical,X1st.Flr.SF,X2nd.Flr.SF,Gr.Liv.Area,Bsmt.Full.Bath,Full.Bath,Half.Bath,Kitchen.Qual,TotRms.AbvGrd,Functional,Fireplaces,Fireplace.Qu,Garage.Type,Garage.Finish,Garage.Cars,Garage.Area,Garage.Qual,Garage.Cond,Paved.Drive,Wood.Deck.SF,Open.Porch.SF,Misc.Feature,Sale.Type,Sale.Condition,SalePrice
RL,34,3901,Pave,NA,Lvl,Inside,NridgHt,Norm,Norm,Twnhs,1Story,6,2005,2006,Gable,CompShg,VinylSd,VinylSd,Stone,182,3,PConc,4,3,3,5,866,1302,GasA,4,1,4,1302,0,1302,1,1,1,3,5,Typ,1,4,Attchd,2,2,631,3,3,Y,110,50,NA,New,Partial,204000
RL,70,8400,Pave,NA,Lvl,Corner,Nonemes,Norm,Norm,1Fam,1Story,4,1970,1970,Gable,CompShg,Plywood,Plywood,NA,0,2,CBlock,3,3,1,5,804,882,GasA,2,1,4,882,0,882,1,1,0,2,4,Typ,0,0,Attchd,3,2,525,3,3,Y,240,0,NA,WD ,Normal,126000
RL,60,7200,Pave,NA,Lvl,Inside,CollgCr,Norm,Norm,1Fam,SFoyer,5,1972,2003,Gable,CompShg,WdShing,HdBoard,NA,0,2,CBlock,4,3,3,6,660,768,GasA,3,1,4,768,0,768,0,1,0,2,5,Typ,0,0,Detchd,3,1,396,3,3,Y,192,0,NA,WD ,Normal,133900
RL,64,7018,Pave,NA,Bnk,Inside,SawyerW,Norm,Norm,Duplex,1Story,5,1979,1979,Gable,CompShg,Plywood,Plywood,NA,0,2,Slab,0,0,0,0,0,0,GasA,2,1,4,1535,0,1535,0,2,0,2,8,Typ,0,0,Attchd,1,2,400,3,3,Y,0,0,NA,WD ,Alloca,118858
RL,111,16259,Pave,NA,Lvl,Corner,NridgHt,Norm,Norm,1Fam,2Story,9,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,370,2,PConc,5,4,3,1,0,1249,GasA,4,1,4,1249,1347,2596,0,3,1,3,9,Typ,0,0,Attchd,2,3,840,3,3,Y,240,154,NA,New,Partial,342643
RL,50,4280,Pave,NA,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,4,1946,2001,Gable,CompShg,MetalSd,MetalSd,NA,0,2,CBlock,2,3,1,1,0,560,GasA,4,1,3,704,0,704,0,1,0,1,4,Typ,0,0,CarPort,1,1,220,3,3,Y,0,0,NA,WD ,Normal,88750
RL,155,20064,Pave,NA,Low,Inside,ClearCr,Norm,Norm,1Fam,1Story,8,1976,1976,Shed,WdShngl,Wd Sdng,Wd Sdng,NA,0,3,CBlock,4,4,4,2,51,966,GasA,4,1,4,1743,0,1743,2,0,1,3,5,Typ,2,2,Attchd,3,2,529,3,3,Y,646,0,NA,WD ,Normal,279000
RM,60,7200,Pave,Grvl,Lvl,Inside,OldTown,Norm,Norm,1Fam,1Story,4,1950,1950,Gable,CompShg,MetalSd,MetalSd,NA,0,2,CBlock,3,3,1,1,0,576,GasA,4,1,4,864,0,864,0,1,0,2,5,Typ,0,0,Detchd,2,1,528,3,3,Y,0,0,NA,COD,Normal,105000
RL,70,9100,Pave,NA,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,244,3,PConc,4,3,3,6,1400,1525,GasA,4,1,4,1525,0,1525,1,2,0,3,6,Typ,0,0,Attchd,2,2,541,3,3,Y,219,36,NA,WD ,Normal,235000
C (all),0,6449,Pave,NA,Lvl,Inside,SWISU,Norm,Norm,1Fam,2Story,4,1907,1950,Gambrel,CompShg,Wd Sdng,Stucco,NA,0,2,CBlock,3,3,1,3,73,707,GasW,2,0,4,942,942,1884,0,1,1,2,7,Typ,0,0,NA,0,0,0,0,0,N,0,0,NA,WD ,Abnorml,93369
